@relation 'horse-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DD:\\savas-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {chicken,cat,horse}

@data
31,16,19,12,15,13,16,16,15,13,15,16,18,14,14,16,14,16,16,14,15,22,16,16,13,16,14,36,15,15,17,15,16,chicken
32,16,19,20,16,18,17,12,15,13,15,16,11,15,13,16,17,15,19,16,14,27,17,16,14,17,14,26,17,18,16,15,13,chicken
34,17,15,15,16,14,13,16,16,15,15,15,17,15,15,16,16,15,15,16,14,24,16,17,16,16,15,35,15,14,15,15,16,chicken
33,16,14,20,17,16,15,13,16,16,15,16,14,16,15,14,17,15,15,16,19,16,17,17,16,15,15,35,17,15,16,15,16,chicken
25,17,17,9,17,7,18,14,15,16,11,14,21,20,12,18,18,14,17,17,17,24,16,16,14,16,15,30,15,15,14,16,14,chicken
21,14,23,13,15,13,18,15,17,14,18,15,18,15,13,17,16,14,16,16,16,25,15,16,15,16,14,29,16,16,15,16,15,chicken
21,16,13,18,18,21,15,17,16,12,15,14,13,14,14,16,16,15,17,15,15,30,16,16,16,15,15,33,15,16,16,16,16,chicken
14,24,25,15,19,15,18,13,15,13,15,15,16,17,15,17,14,17,19,14,13,30,17,15,15,16,15,27,12,12,20,13,16,chicken
34,12,28,12,17,16,18,17,17,17,17,15,14,16,15,15,18,16,13,15,16,32,17,13,14,15,14,31,15,16,16,16,16,chicken
27,17,16,13,11,9,16,17,14,21,19,11,17,14,11,17,18,18,16,13,15,29,15,17,15,16,16,33,16,15,15,16,15,chicken
29,17,18,26,15,16,20,17,12,16,15,15,18,12,21,14,10,12,14,16,17,31,17,17,14,16,15,31,11,15,17,14,17,chicken
32,22,22,14,16,9,18,14,17,15,13,15,18,16,16,14,15,15,15,15,17,29,14,15,17,15,16,30,16,14,16,14,16,chicken
33,6,23,21,14,17,14,13,15,18,13,19,12,16,16,15,15,16,11,16,17,28,16,15,17,14,16,32,15,16,14,16,15,chicken
34,13,10,16,19,19,13,23,16,15,16,16,14,15,17,19,16,17,14,16,14,22,15,17,16,17,19,39,16,15,15,15,13,chicken
34,19,14,19,18,13,19,16,15,17,14,15,11,18,16,14,14,17,15,17,14,31,15,15,15,15,16,34,15,16,15,15,15,chicken
12,14,7,20,12,13,17,13,18,11,18,16,17,16,14,17,17,14,17,13,13,24,14,17,12,17,15,33,17,14,18,15,16,chicken
31,11,4,7,16,9,16,12,15,15,17,17,20,13,14,15,17,14,17,17,15,31,17,14,15,16,16,30,15,15,16,16,15,chicken
26,18,10,20,16,13,16,16,18,12,16,15,16,15,13,14,15,14,16,15,18,29,14,19,16,15,17,36,19,12,14,17,13,chicken
26,16,24,23,18,15,16,15,15,13,15,15,14,16,19,15,14,16,15,15,15,35,15,20,16,16,15,28,15,13,14,16,13,chicken
35,18,22,20,18,15,16,14,17,17,16,16,14,15,14,13,16,15,19,16,16,27,15,17,17,15,15,36,15,19,15,14,16,chicken
16,14,11,13,13,12,17,16,14,16,17,17,17,16,15,16,14,15,14,16,18,28,14,18,16,16,17,34,15,16,15,15,16,chicken
34,16,21,24,17,19,17,14,18,14,14,16,11,16,15,15,16,14,17,15,16,30,16,17,15,16,14,33,16,16,15,16,16,chicken
33,18,26,15,13,23,15,13,16,17,15,15,13,16,13,17,15,15,17,16,16,25,17,15,19,16,15,34,13,15,13,16,15,chicken
26,27,23,13,15,15,21,13,14,15,13,15,16,14,13,16,14,13,18,14,16,23,15,17,15,16,20,40,18,12,15,16,9,chicken
21,14,24,14,12,12,19,17,16,16,16,15,20,16,14,15,12,15,13,16,16,21,16,12,14,14,16,30,17,15,15,15,14,chicken
23,15,18,9,15,8,16,16,17,15,17,16,22,15,15,16,12,14,15,16,15,21,15,15,14,15,13,38,16,16,16,15,17,chicken
29,10,14,21,16,18,15,15,14,13,14,14,11,14,18,14,17,16,16,15,17,28,15,20,17,15,16,36,16,13,14,16,13,chicken
36,13,19,20,19,12,21,15,18,7,18,15,18,16,19,16,15,14,16,17,12,27,16,14,16,15,15,34,15,16,16,16,16,chicken
27,15,18,16,18,15,14,15,15,13,16,15,15,14,15,17,14,17,16,16,13,13,18,14,15,15,15,33,15,17,12,16,12,chicken
14,13,13,19,14,14,15,12,16,16,16,14,14,16,15,16,15,15,15,14,16,23,17,17,14,16,16,30,16,16,15,16,15,chicken
33,13,12,21,15,20,16,15,17,14,17,15,14,15,15,15,15,15,18,15,16,28,18,15,15,16,16,34,13,16,15,14,15,chicken
33,17,15,13,19,17,15,17,21,14,13,17,19,14,14,16,13,16,15,17,16,32,14,14,15,15,15,31,16,15,15,16,16,chicken
28,13,23,17,18,9,15,16,19,17,17,17,17,19,21,12,18,17,14,13,13,27,16,15,15,16,16,35,15,15,15,15,15,chicken
17,16,17,8,16,9,15,16,16,15,18,15,22,15,15,16,14,15,16,15,16,44,15,16,19,15,18,24,16,15,14,16,14,chicken
46,12,20,14,14,12,19,16,17,18,16,16,17,16,17,15,14,14,14,16,16,29,16,13,14,15,14,30,16,17,16,16,15,chicken
32,18,3,15,15,18,13,13,13,14,18,16,12,15,16,16,19,16,20,16,17,14,15,19,20,16,17,44,15,17,11,15,11,chicken
34,18,10,18,18,13,17,16,14,17,12,14,12,16,14,16,16,15,18,17,15,15,14,18,15,16,15,43,15,15,16,15,17,chicken
27,13,15,20,12,14,13,16,16,12,14,16,14,16,18,16,14,17,17,14,18,20,13,16,12,16,15,32,15,16,15,15,16,chicken
21,13,7,9,13,19,15,16,12,10,14,13,15,16,14,17,15,13,18,16,17,26,11,19,17,19,22,34,19,13,15,13,11,chicken
40,15,21,14,16,9,18,17,18,17,20,18,16,15,15,17,15,14,16,17,18,27,17,16,16,15,13,31,18,19,15,16,13,chicken
42,18,25,6,13,14,17,19,17,15,12,15,19,16,15,16,16,17,18,15,14,24,16,16,15,14,16,39,15,13,17,16,16,chicken
31,17,24,20,15,21,16,12,17,15,14,15,15,16,18,15,15,15,16,15,13,30,15,15,14,15,14,32,16,17,17,16,16,chicken
24,20,16,9,18,13,14,15,17,9,16,15,19,14,12,14,15,13,19,13,16,26,17,19,14,15,16,33,16,16,16,15,16,chicken
40,12,24,21,12,21,14,9,16,13,14,16,13,14,11,18,18,15,17,17,15,23,14,20,16,14,13,35,16,15,15,16,17,chicken
20,11,20,9,13,12,18,14,17,17,15,16,15,16,14,15,14,16,14,16,15,24,16,15,18,15,17,34,15,16,14,16,14,chicken
35,16,19,19,22,21,18,14,17,10,17,15,11,13,16,16,14,17,14,15,14,21,16,19,16,15,11,36,15,15,12,15,12,chicken
36,20,15,13,16,12,18,17,14,12,16,15,19,15,15,16,14,14,17,16,17,25,15,17,17,14,16,37,16,14,14,17,15,chicken
31,15,21,21,17,20,19,16,15,16,18,16,12,13,18,15,16,15,16,18,18,27,17,19,16,15,15,34,15,12,15,16,16,chicken
35,16,13,24,11,22,16,12,12,17,11,20,8,19,19,15,18,17,20,19,18,25,16,16,12,16,15,32,14,16,14,13,17,chicken
18,13,11,15,14,16,15,18,16,12,18,16,18,16,13,17,13,15,14,13,16,15,18,17,20,16,17,48,14,15,10,15,13,chicken
31,21,26,13,18,8,16,13,16,16,15,14,16,20,6,16,18,16,15,15,15,21,15,14,16,16,15,42,16,16,15,15,17,chicken
27,17,19,18,17,12,18,17,17,16,14,15,14,16,16,16,15,15,13,18,19,20,16,16,16,15,17,41,15,14,15,16,14,chicken
25,17,20,17,16,18,15,16,16,18,14,16,11,16,16,14,16,15,15,17,14,24,16,13,20,15,18,36,15,18,12,16,13,chicken
34,17,18,20,14,22,13,13,15,14,15,16,11,16,16,18,16,17,17,15,14,15,15,16,14,16,14,29,15,16,12,15,12,chicken
34,15,27,17,16,17,14,15,14,13,15,15,17,16,13,16,16,17,13,18,17,26,16,13,15,14,15,33,15,12,16,16,15,chicken
30,21,11,18,20,17,16,16,15,17,14,15,14,14,15,13,17,13,15,15,15,28,16,15,16,17,15,34,17,14,16,16,14,chicken
33,17,8,17,17,19,15,14,15,15,12,17,10,15,14,17,17,15,17,16,16,18,15,16,16,15,16,41,16,16,14,16,14,chicken
32,17,7,18,19,16,16,15,14,16,15,15,14,16,16,15,15,15,17,17,16,28,16,16,16,15,15,35,17,15,15,17,15,chicken
31,14,24,24,12,19,16,13,18,16,13,15,15,15,13,14,17,16,16,15,17,22,16,14,16,14,15,28,16,17,17,14,15,chicken
38,12,15,14,12,16,14,16,14,13,18,16,16,17,14,14,17,18,16,15,18,27,16,16,14,14,15,29,14,18,11,11,13,chicken
37,15,9,22,18,11,17,19,17,19,11,12,16,15,16,17,17,13,13,17,17,29,15,15,16,15,16,36,17,19,16,16,14,chicken
34,15,21,16,15,13,13,15,15,17,12,13,13,12,15,15,14,15,13,15,15,26,17,20,15,15,14,29,15,18,16,16,16,chicken
30,20,25,15,11,15,15,15,17,13,13,18,13,16,17,15,15,16,16,14,16,29,16,14,16,16,16,30,15,17,15,15,15,chicken
21,20,16,7,15,13,12,11,13,16,12,16,17,19,15,16,17,18,21,15,12,20,17,13,14,15,15,26,16,15,15,15,16,chicken
30,14,10,9,15,13,15,16,15,16,18,17,13,16,15,18,18,13,16,15,15,24,15,14,13,15,15,38,17,17,18,17,16,chicken
25,14,18,23,16,23,15,13,17,15,14,16,11,17,17,15,17,15,20,17,16,22,15,13,12,18,13,26,16,14,15,18,15,chicken
21,10,14,23,16,19,20,14,17,18,17,15,14,16,18,17,16,16,17,17,15,30,15,18,16,15,15,32,16,14,15,16,15,chicken
19,13,14,16,16,13,15,15,16,14,14,15,15,15,17,17,16,16,15,16,15,25,17,18,13,14,15,28,15,14,16,15,15,chicken
35,16,11,19,18,16,15,13,16,20,20,16,13,20,13,17,15,15,17,14,14,14,15,25,24,17,13,35,15,13,9,15,12,chicken
43,17,17,21,15,18,15,14,15,15,15,16,13,15,18,14,15,16,16,16,13,30,16,16,16,15,16,32,15,16,16,15,14,chicken
38,19,19,21,19,17,17,14,17,15,19,16,15,18,18,15,14,18,16,17,17,21,15,17,20,16,17,36,14,14,13,15,15,chicken
24,15,9,14,15,15,16,17,13,10,14,13,16,14,13,14,15,16,15,15,17,18,18,17,17,16,16,42,13,15,15,14,15,chicken
24,17,17,14,18,13,11,15,16,15,15,15,15,12,12,13,12,15,16,16,15,31,16,16,15,16,15,33,15,15,15,15,15,chicken
35,10,28,15,20,17,16,13,15,17,13,15,17,15,15,17,15,14,15,14,15,28,18,17,17,14,16,34,14,14,15,16,15,chicken
34,15,13,18,15,15,15,16,16,17,14,16,15,16,15,17,16,15,14,16,15,18,16,16,17,16,16,34,14,15,8,15,12,chicken
36,18,21,22,13,16,16,13,13,15,12,15,14,15,16,14,17,16,15,15,12,29,16,16,17,15,17,35,15,15,14,16,15,chicken
33,16,19,16,16,17,18,17,14,15,14,14,15,18,12,16,13,15,16,13,17,28,15,18,17,14,17,35,18,18,15,17,12,chicken
30,13,15,20,17,18,17,17,17,16,13,14,12,14,16,15,16,14,15,14,16,18,16,16,13,15,14,29,16,16,15,16,15,chicken
29,16,17,18,15,17,14,13,16,14,14,16,14,15,16,17,17,16,18,15,17,21,17,15,16,16,15,28,14,16,14,15,13,chicken
41,17,15,16,18,19,12,17,13,15,15,17,11,16,14,17,15,18,16,18,16,30,17,16,17,16,17,34,14,16,14,15,13,chicken
29,12,7,13,12,8,13,20,12,19,18,19,19,15,13,14,16,19,12,15,15,28,13,21,15,15,17,30,17,13,16,16,14,chicken
40,15,8,18,16,16,17,15,14,15,13,16,19,15,16,16,15,13,16,16,14,28,14,13,14,14,15,36,18,19,16,18,14,chicken
16,16,25,10,14,12,15,17,14,17,12,17,17,15,18,15,16,16,14,15,17,25,15,13,16,16,15,32,15,16,16,15,15,chicken
28,15,16,5,9,11,12,16,15,11,11,18,20,11,11,18,12,16,17,12,14,23,14,18,19,16,17,32,16,16,15,15,13,chicken
40,9,17,6,13,13,11,14,16,13,10,15,19,15,12,15,13,17,17,15,12,28,15,16,16,16,15,32,17,15,16,15,16,chicken
23,20,24,23,14,18,15,12,14,20,13,15,13,16,15,16,17,15,15,15,16,32,13,16,15,15,15,31,16,15,16,16,16,chicken
32,14,14,14,15,19,13,15,12,14,11,14,11,15,14,17,15,19,15,14,15,22,16,16,15,16,13,30,16,15,15,16,15,chicken
33,16,10,12,17,17,17,18,15,24,21,13,15,14,15,15,14,14,10,14,17,24,15,20,14,15,14,37,16,11,16,16,15,chicken
35,20,15,10,14,13,13,11,13,15,19,14,15,17,15,17,16,19,16,17,14,15,19,17,16,16,15,30,18,20,15,16,14,chicken
45,21,20,6,15,14,17,14,16,16,13,14,16,15,17,17,15,16,17,14,14,29,16,16,17,15,17,32,15,15,16,16,15,chicken
20,16,22,20,19,17,18,18,18,19,14,16,15,16,18,15,16,15,16,15,18,21,16,16,15,18,18,45,11,18,18,12,14,chicken
23,18,13,18,16,13,15,17,14,13,18,16,16,16,17,15,17,15,16,15,14,22,16,15,16,16,16,38,16,17,14,15,15,chicken
33,16,14,17,17,18,14,16,14,15,15,14,12,15,14,15,15,18,16,15,16,33,16,18,17,16,16,28,15,13,14,15,15,chicken
28,12,16,15,16,9,12,18,17,21,15,17,18,13,15,17,15,19,12,17,15,20,17,16,12,16,15,35,15,16,16,15,16,chicken
28,20,24,14,20,14,13,15,14,11,17,18,16,16,14,12,12,15,17,17,17,29,15,18,13,15,16,32,15,14,16,15,15,chicken
29,11,21,12,14,9,18,13,15,16,16,15,18,17,17,17,15,17,15,16,15,27,14,16,14,16,12,32,15,16,16,16,16,chicken
38,16,13,12,16,21,19,10,17,12,15,17,15,18,14,15,16,13,18,15,15,31,15,15,16,15,16,33,17,17,16,17,15,chicken
28,17,28,19,16,17,17,15,13,12,14,11,13,15,15,13,16,14,17,14,18,27,16,17,16,16,16,29,15,20,17,15,14,chicken
27,17,13,14,20,13,16,18,19,15,15,17,17,14,15,15,14,14,17,14,16,30,16,15,15,15,16,32,15,15,16,16,16,chicken
33,15,11,21,18,19,14,13,13,13,12,17,13,17,15,17,17,15,17,17,16,17,12,17,15,18,15,32,15,16,15,15,15,chicken
21,15,15,15,15,16,16,15,16,13,14,15,16,16,14,17,14,15,17,16,15,28,16,17,14,16,15,35,15,14,17,15,16,chicken
36,17,12,23,14,22,14,14,17,18,13,16,8,18,18,16,18,16,14,14,16,29,15,13,17,15,17,34,16,19,14,16,14,chicken
32,21,18,20,16,15,15,18,15,14,14,17,17,11,13,17,17,15,16,15,14,18,15,19,17,16,16,48,14,11,11,15,15,chicken
28,12,25,24,18,20,16,11,16,22,14,11,10,18,19,18,18,15,19,18,15,19,15,15,19,13,15,34,16,18,12,16,13,chicken
29,16,18,15,16,14,16,16,16,13,18,16,16,14,14,16,14,16,15,14,15,17,15,16,16,16,16,34,16,15,11,15,15,chicken
39,18,19,8,11,14,13,13,18,18,17,19,20,14,11,15,16,16,21,16,14,23,16,17,13,15,16,35,15,15,16,16,15,chicken
30,13,18,19,16,15,16,15,15,18,13,17,12,17,16,17,16,15,14,17,16,30,14,16,18,16,19,34,16,16,13,15,13,chicken
29,8,18,10,15,19,16,15,18,15,15,16,19,17,20,9,15,11,17,15,15,27,14,14,14,15,14,33,16,16,16,15,16,chicken
14,16,26,19,12,10,14,7,11,15,10,15,14,11,11,13,13,14,17,16,14,29,18,17,18,14,13,29,18,17,13,16,14,chicken
35,15,25,12,20,13,16,14,16,13,14,15,13,16,16,15,14,15,16,17,16,15,16,15,16,15,14,30,16,16,15,16,14,chicken
20,9,8,9,16,6,20,12,13,10,14,16,18,15,14,16,18,18,19,15,12,20,15,20,16,16,18,38,17,11,16,14,15,chicken
35,19,22,24,15,21,14,13,9,11,17,16,12,11,20,17,18,18,19,17,17,29,14,15,16,14,15,34,16,16,15,17,16,chicken
35,19,21,24,14,25,11,13,17,14,17,15,9,16,16,16,17,16,17,13,16,27,15,15,14,16,14,34,16,16,16,15,16,chicken
25,18,13,13,14,17,12,15,13,15,15,17,15,17,13,17,16,17,16,15,16,27,17,15,16,16,16,36,14,16,15,16,16,chicken
25,17,15,26,19,22,16,13,13,16,13,13,10,16,16,15,17,15,19,15,15,29,15,16,15,15,15,32,17,15,16,15,17,chicken
14,12,11,18,24,12,16,17,15,17,19,17,17,14,15,16,15,14,16,17,16,20,16,15,13,12,17,40,12,10,16,18,14,chicken
41,18,10,20,14,19,16,13,15,14,15,15,14,15,15,15,17,16,19,16,15,30,16,17,14,15,15,32,15,15,16,16,16,chicken
24,13,13,21,16,21,16,17,16,16,19,16,13,16,19,16,15,15,15,16,15,25,17,15,18,16,17,41,14,17,12,15,14,chicken
48,17,10,12,17,20,13,17,16,11,14,16,14,15,15,16,16,15,17,14,17,29,16,14,15,16,16,32,16,16,16,16,15,chicken
29,17,22,13,17,13,16,15,14,13,15,15,15,16,15,16,14,16,16,16,15,30,18,18,16,16,17,33,14,14,15,15,13,chicken
26,19,16,16,14,15,16,14,19,15,15,14,20,15,15,14,17,13,15,14,16,26,15,15,16,15,15,36,15,16,15,16,16,chicken
37,16,13,17,18,23,16,14,17,17,11,15,8,14,17,15,20,15,17,14,16,22,15,16,17,15,15,39,18,16,14,18,15,chicken
21,20,6,7,12,8,13,14,8,13,15,16,21,19,15,11,14,18,15,20,17,28,16,18,14,16,15,33,15,16,16,15,16,chicken
47,16,13,19,15,21,16,13,14,12,16,15,12,16,14,16,16,16,17,17,15,18,16,11,17,15,16,37,13,14,11,16,13,chicken
32,15,22,21,20,14,16,14,18,12,15,16,12,18,13,16,17,14,17,15,15,15,19,20,18,19,16,44,13,10,10,14,14,chicken
34,17,19,20,16,17,14,15,15,15,15,15,14,16,14,14,16,15,16,13,15,19,15,17,18,16,16,31,17,16,13,16,10,chicken
32,11,26,15,18,13,17,14,13,20,14,15,16,14,17,17,15,14,15,17,14,29,16,16,17,15,16,34,16,15,14,16,15,chicken
30,18,13,21,16,17,14,16,13,15,14,14,13,14,17,15,16,19,17,16,16,19,14,15,13,13,15,32,16,16,16,16,16,chicken
40,17,15,17,16,17,18,15,14,15,16,14,13,16,15,14,15,15,19,16,16,27,16,15,16,15,18,37,19,17,12,16,11,chicken
28,25,21,15,13,19,18,13,14,14,17,14,15,15,16,15,15,15,14,17,16,32,15,14,13,15,14,33,16,17,18,14,17,chicken
33,17,17,16,15,12,16,15,15,13,14,14,18,15,17,15,15,16,18,16,15,15,15,17,13,15,15,33,16,15,15,15,16,chicken
38,18,15,19,13,16,13,16,15,14,15,17,15,16,17,16,16,18,17,17,16,14,15,17,18,16,15,31,16,15,16,16,16,chicken
22,18,16,18,15,9,17,13,16,15,12,18,15,19,17,14,15,15,15,17,15,28,17,17,18,16,18,32,15,14,13,15,13,chicken
34,17,7,16,15,10,12,19,13,15,15,17,17,18,17,15,15,20,16,14,13,29,16,14,16,16,17,33,14,13,13,15,13,chicken
49,15,14,19,16,15,15,16,15,15,13,16,14,16,16,15,17,14,15,16,16,31,15,15,16,16,15,31,16,16,15,15,16,chicken
35,14,21,10,12,16,15,17,19,22,14,18,13,14,13,16,16,15,15,14,16,10,15,10,18,17,15,26,15,12,14,15,15,chicken
23,19,15,9,17,8,13,15,17,16,17,15,21,14,16,15,14,14,16,13,15,22,15,15,15,15,15,39,16,16,17,16,16,chicken
25,17,19,14,19,18,16,19,16,19,18,13,16,16,18,16,17,15,14,14,13,31,16,16,16,17,15,31,14,15,14,13,15,chicken
33,19,12,19,13,16,17,17,12,17,11,21,15,18,15,13,15,14,18,13,16,28,19,15,18,16,17,36,9,17,13,15,15,chicken
