@relation horse

@attribute filename string
@attribute class {chicken,cat,horse}

@data
'chicken\\chicken (1).jpeg',chicken
'chicken\\chicken (10).jpeg',chicken
'chicken\\chicken (100).jpeg',chicken
'chicken\\chicken (1000).jpeg',chicken
'chicken\\chicken (1001).jpeg',chicken
'chicken\\chicken (1002).jpeg',chicken
'chicken\\chicken (1003).jpeg',chicken
'chicken\\chicken (1004).jpeg',chicken
'chicken\\chicken (1005).jpeg',chicken
'chicken\\chicken (1006).jpeg',chicken
'chicken\\chicken (1007).jpeg',chicken
'chicken\\chicken (1008).jpeg',chicken
'chicken\\chicken (1009).jpeg',chicken
'chicken\\chicken (101).jpeg',chicken
'chicken\\chicken (1010).jpeg',chicken
'chicken\\chicken (1011).jpeg',chicken
'chicken\\chicken (1012).jpeg',chicken
'chicken\\chicken (1013).jpeg',chicken
'chicken\\chicken (1014).jpeg',chicken
'chicken\\chicken (1015).jpeg',chicken
'chicken\\chicken (1016).jpeg',chicken
'chicken\\chicken (1017).jpeg',chicken
'chicken\\chicken (1018).jpeg',chicken
'chicken\\chicken (1019).jpeg',chicken
'chicken\\chicken (102).jpeg',chicken
'chicken\\chicken (1020).jpeg',chicken
'chicken\\chicken (1021).jpeg',chicken
'chicken\\chicken (1022).jpeg',chicken
'chicken\\chicken (1023).jpeg',chicken
'chicken\\chicken (1024).jpeg',chicken
'chicken\\chicken (1025).jpeg',chicken
'chicken\\chicken (1026).jpeg',chicken
'chicken\\chicken (1027).jpeg',chicken
'chicken\\chicken (1028).jpeg',chicken
'chicken\\chicken (1029).jpeg',chicken
'chicken\\chicken (103).jpeg',chicken
'chicken\\chicken (1030).jpeg',chicken
'chicken\\chicken (1031).jpeg',chicken
'chicken\\chicken (1032).jpeg',chicken
'chicken\\chicken (1033).jpeg',chicken
'chicken\\chicken (1034).jpeg',chicken
'chicken\\chicken (1035).jpeg',chicken
'chicken\\chicken (1036).jpeg',chicken
'chicken\\chicken (1037).jpeg',chicken
'chicken\\chicken (1038).jpeg',chicken
'chicken\\chicken (1039).jpeg',chicken
'chicken\\chicken (104).jpeg',chicken
'chicken\\chicken (1040).jpeg',chicken
'chicken\\chicken (1041).jpeg',chicken
'chicken\\chicken (1042).jpeg',chicken
'chicken\\chicken (1043).jpeg',chicken
